選舉區,姓名,性別,出生年月日,推薦之政黨,抽籤號次,公職類別
臺南市歸仁區新厝里,林文斌,男,051/01/19,無,1,村里長
臺南市歸仁區新厝里,蘇元崇,男,062/01/06,無,2,村里長
臺南市歸仁區歸南里,吳忠霖,男,047/11/11,無,1,村里長
臺南市歸仁區文化里,陳富榮,男,035/10/02,無,1,村里長
臺南市歸仁區文化里,黃國棟,男,032/11/25,無,2,村里長
臺南市關廟區關廟里,楊宗輝,男,068/11/20,無,1,村里長
臺南市關廟區山西里,楊啓賢,男,050/11/10,無,1,村里長
臺南市關廟區香洋里,盧建平,男,055/11/18,無,1,村里長
臺南市關廟區香洋里,沈永林,男,066/09/20,無,2,村里長
臺南市關廟區北勢里,郭水道,男,043/01/05,無,1,村里長
臺南市關廟區新埔里,黃春柳,女,059/07/30,無,1,村里長
臺南市關廟區新埔里,張敬仁,男,043/11/13,無,2,村里長
臺南市關廟區新光里,黃瑞池,男,044/05/25,無,1,村里長
臺南市關廟區五甲里,盧振良,男,045/10/18,民主進步黨,1,村里長
臺南市關廟區五甲里,蔡明松,男,047/11/14,無,2,村里長
臺南市關廟區東勢里,方耀南,男,043/09/20,無,1,村里長
臺南市關廟區松腳里,李文良,男,050/06/24,無,1,村里長
臺南市關廟區松腳里,楊文慶,男,064/09/11,無,2,村里長
臺南市關廟區深坑里,張榮崇,男,044/05/01,無,1,村里長
臺南市關廟區深坑里,李美女,女,048/09/30,無,2,村里長
臺南市關廟區深坑里,林國治,男,038/07/22,無,3,村里長
臺南市關廟區深坑里,張順良,男,040/09/26,無,4,村里長
臺南市關廟區布袋里,陳龍目,男,050/11/28,無,1,村里長
臺南市關廟區埤頭里,許文進,男,043/08/25,無,1,村里長
臺南市關廟區下湖里,陳照明,男,043/08/18,無,1,村里長
臺南市關廟區下湖里,董錦松,男,047/12/09,無,2,村里長
臺南市關廟區花園里,楊建銘,男,058/09/26,無,1,村里長
臺南市關廟區花園里,郭文郁,男,066/08/10,無,2,村里長
臺南市關廟區龜洞里,洪世東,男,054/11/19,無,1,村里長
臺南市關廟區龜洞里,王澤源,男,048/08/24,無,2,村里長
臺南市龍崎區崎頂里,黃嘉慶,男,048/02/25,無,1,村里長
臺南市龍崎區崎頂里,黃怡婷,女,074/03/24,無,2,村里長
臺南市龍崎區土崎里,林宏忠,男,049/05/22,無,1,村里長
臺南市龍崎區中坑里,陳茂全,男,034/06/15,無,1,村里長
臺南市龍崎區楠坑里,洪坤木,男,039/01/15,無,1,村里長
臺南市龍崎區牛埔里,陳正印,男,043/10/20,無,1,村里長
臺南市龍崎區牛埔里,陳泰祥,男,042/10/08,無,2,村里長
臺南市龍崎區大坪里,余文生,男,055/03/24,無,1,村里長
臺南市龍崎區龍船里,林忠成,男,050/03/03,無,1,村里長
臺南市龍崎區龍船里,林萬億,男,053/06/06,無,2,村里長
臺南市龍崎區龍船里,林成堂,男,046/01/20,無,3,村里長
臺南市龍崎區石𥕢里,余瑞凱,男,054/11/20,無,1,村里長
臺南市龍崎區石𥕢里,洪坤山,男,055/10/01,無,2,村里長
臺南市永康區五王里,陳志宏,男,060/07/10,民主進步黨,1,村里長
臺南市永康區五王里,蔡博智,男,077/10/31,無,2,村里長
臺南市永康區五王里,蔡志偉,男,077/01/18,無,3,村里長
臺南市永康區五王里,吳燕霖,男,042/12/13,無,4,村里長
臺南市永康區網寮里,林高田,男,055/08/05,無,1,村里長
臺南市永康區網寮里,魏銘城,男,055/08/07,無,2,村里長
臺南市永康區永康里,李佳鴻,男,067/04/14,無,1,村里長
臺南市永康區永康里,魏萬順,男,058/07/02,無,2,村里長
臺南市永康區埔園里,林坤宏,男,064/05/05,無,1,村里長
臺南市永康區埔園里,柯景維,男,070/08/03,民主進步黨,2,村里長
臺南市永康區大橋里,梁峯楠,男,045/12/30,無,1,村里長
臺南市永康區大橋里,李建志,男,055/11/05,無,2,村里長
臺南市永康區王行里,陳丁為,男,045/11/07,無,1,村里長
臺南市永康區烏竹里,陳壬子,男,043/11/08,無,1,村里長
臺南市永康區烏竹里,鄭美妙,女,053/04/20,無,2,村里長
臺南市永康區蔦松里,鄭崢嶸,男,057/06/12,無,1,村里長
臺南市永康區蔦松里,許金龍,男,048/10/27,無,2,村里長
臺南市永康區三民里,陳和志,男,062/02/10,無,1,村里長
臺南市永康區塩行里,劉天福,男,047/01/18,民主進步黨,1,村里長
臺南市永康區塩行里,劉志明,男,056/06/08,無,2,村里長
臺南市永康區甲頂里,吳和祥,男,047/05/18,民主進步黨,1,村里長
臺南市永康區大灣里,鄭文義,男,038/12/02,無,1,村里長
臺南市永康區東灣里,李明堂,男,047/11/10,無,1,村里長
臺南市永康區東灣里,李明權,男,050/07/11,無,2,村里長
臺南市永康區西灣里,陳永祥,男,045/10/01,民主進步黨,1,村里長
臺南市永康區西灣里,李元慶,男,047/09/12,無,2,村里長
臺南市永康區南灣里,詹瑞美,女,043/05/30,無,1,村里長
臺南市永康區崑山里,李忠信,男,053/02/03,無,1,村里長
臺南市永康區崑山里,方暉喻,男,069/02/20,無,2,村里長
臺南市永康區北灣里,鄭德清,男,049/07/18,無,1,村里長
臺南市永康區北灣里,方富詳,男,075/09/27,無,2,村里長
臺南市永康區北灣里,鄭瑞益,男,042/06/20,無,3,村里長
臺南市永康區北灣里,劉秋婕,女,073/03/30,無,4,村里長
臺南市永康區新樹里,陳日祥,男,051/01/21,無,1,村里長
臺南市永康區復興里,殷新昇,男,049/01/13,無,1,村里長
臺南市永康區復興里,吳秋明,男,054/10/05,中國國民黨,2,村里長
臺南市永康區復國里,劉海樹,男,047/06/01,無,1,村里長
臺南市永康區復國里,林水池,男,046/04/19,無,2,村里長
臺南市永康區復國里,李步雲,男,054/05/31,中國國民黨,3,村里長
臺南市永康區建國里,行志英,女,048/12/06,無,1,村里長
臺南市永康區建國里,鍾國寶,男,047/11/11,中國國民黨,2,村里長
臺南市永康區神洲里,歐煌崇,男,043/07/02,無,1,村里長
臺南市永康區西勢里,郭芳默,女,066/09/24,無,1,村里長
臺南市永康區西勢里,陳素珍,女,045/04/01,無,2,村里長
臺南市永康區成功里,金冠宏,男,057/07/16,無,1,村里長
臺南市永康區成功里,曾文俊,男,053/09/03,無,2,村里長
臺南市永康區中興里,蔡昭蓉,女,057/11/22,無,1,村里長
臺南市永康區中興里,楊家銘,男,063/10/12,中國國民黨,2,村里長
臺南市永康區勝利里,楊遠波,男,054/01/08,無,1,村里長
臺南市永康區勝利里,卓進鏞,男,051/09/05,無,2,村里長
臺南市永康區龍潭里,李俊銘,男,048/06/17,無,1,村里長
臺南市永康區龍潭里,陳岳文,男,045/01/13,無,2,村里長
臺南市永康區光復里,蔡金山,男,056/01/20,無,1,村里長
臺南市永康區塩洲里,毛三宝,男,041/04/06,無,1,村里長
臺南市永康區二王里,謝文奇,男,052/11/14,無,1,村里長
臺南市永康區二王里,郭宗基,男,059/01/10,無,2,村里長
臺南市永康區六合里,李信輝,男,072/02/22,民主進步黨,1,村里長
臺南市永康區六合里,賴明騰,男,065/12/20,無,2,村里長
臺南市永康區三合里,黄雅珊,女,060/01/14,無,1,村里長
臺南市永康區三合里,朱水發,男,039/04/10,無,2,村里長
臺南市永康區東橋里,陳振安,男,045/08/20,無,1,村里長
臺南市永康區東橋里,王怡舜,男,065/04/19,無,2,村里長
臺南市永康區安康里,鄭順鴻,男,054/08/04,無,1,村里長
臺南市永康區安康里,王君哲,男,050/11/13,無,2,村里長
臺南市永康區西橋里,黄翠華,女,049/12/20,無,1,村里長
臺南市永康區西橋里,黃明同,男,049/12/30,無,2,村里長
臺南市永康區尚頂里,沈水應,男,044/04/13,無,1,村里長
臺南市永康區尚頂里,周三貴,男,032/11/01,無,2,村里長
臺南市永康區復華里,王嵐,男,069/02/16,中國國民黨,1,村里長
臺南市永康區復華里,王松俊,男,057/08/11,無,2,村里長
臺南市永康區復華里,曾榮裕,男,047/10/05,無,3,村里長
臺南市永康區正強里,吳燕義,男,044/09/08,民主進步黨,1,村里長
臺南市永康區正強里,遊國生,男,053/06/03,無,2,村里長
臺南市永康區中華里,林義泰,男,039/01/20,無,1,村里長
臺南市永康區中華里,林再益,男,047/10/26,無,2,村里長
臺南市永康區中華里,張脩紹,女,054/09/11,無,3,村里長
臺南市永康區北興里,鄭文生,男,063/05/12,無,1,村里長
臺南市永康區龍埔里,沈育濃,男,051/06/17,無,1,村里長
臺南市永康區龍埔里,楊里慶,男,054/11/01,無,2,村里長
臺南市永康區永明里,吳深濤,男,054/02/02,無,1,村里長
臺南市永康區塩興里,鄭進在,男,047/08/09,無,1,村里長
臺南市永康區塩興里,戴宗禮,男,047/11/21,無,2,村里長
臺南市東區富裕里,董進龍,男,041/08/21,無,1,村里長
臺南市東區裕農里,陳良濱,男,040/08/01,中國國民黨,1,村里長
臺南市東區大智里,張哲生,男,050/04/04,無,1,村里長
臺南市東區大智里,黃日新,男,046/01/05,無,2,村里長
臺南市東區崇學里,陳長提,男,046/10/28,中國國民黨,1,村里長
臺南市東區泉南里,洪孟甫,男,040/08/22,中國國民黨,1,村里長
臺南市東區仁和里,陳奕翰,男,065/08/25,無,1,村里長
臺南市東區仁和里,蔡仁欣,男,068/11/14,無,2,村里長
臺南市東區仁和里,潘裕良,男,066/12/08,無,3,村里長
臺南市東區後甲里,王南寶,男,050/08/21,中國國民黨,1,村里長
臺南市東區後甲里,陳振宗,男,052/08/21,無,2,村里長
臺南市東區東光里,許文能,男,048/05/09,中國國民黨,1,村里長
臺南市東區東光里,劉金幸,女,049/09/03,無,2,村里長
臺南市東區新東里,江艷嬪,女,043/10/14,中國國民黨,1,村里長
臺南市東區新東里,潘玉淳,女,057/04/20,無,2,村里長
臺南市東區新東里,杜志毅,男,077/02/26,無,3,村里長
臺南市東區中西里,陳怡文,女,064/08/31,無,1,村里長
臺南市東區中西里,郭信成,男,067/10/22,無,2,村里長
臺南市東區東安里,吳參賢,男,053/06/18,中國國民黨,1,村里長
臺南市東區崇明里,李仁慈,男,043/01/04,無,1,村里長
臺南市東區崇明里,張家詒,女,061/09/05,中國國民黨,2,村里長
臺南市東區自強里,魏伊鈴,女,065/11/02,無,1,村里長
臺南市東區自強里,鍾聯家,男,049/05/20,無,2,村里長
臺南市東區和平里,戴嘉怡,女,071/01/24,無,1,村里長
臺南市東區和平里,洪榮俊,男,057/12/11,無,2,村里長
臺南市東區路東里,楊華珍,女,042/08/09,無,1,村里長
臺南市東區大德里,吳震巍,男,045/06/18,無,1,村里長
臺南市東區大德里,黃玉女,女,047/04/28,無,2,村里長
臺南市東區關聖里,鍾秀梅,女,056/10/18,無,1,村里長
臺南市東區關聖里,周楹婍,女,058/06/06,無,2,村里長
臺南市東區衛國里,陳盈良,男,064/10/25,無,1,村里長
臺南市東區衛國里,莊如婷,女,066/09/20,無,2,村里長
臺南市東區衛國里,陳積慶,男,055/07/16,無,3,村里長
臺南市東區崇善里,吳文仁,男,058/02/03,無,1,村里長
臺南市東區崇善里,黃榮裕,男,056/06/21,無,2,村里長
臺南市東區崇善里,陳建銘,男,068/01/27,民主進步黨,3,村里長
臺南市東區富強里,李寶猜,女,043/11/15,無,1,村里長
臺南市東區富強里,侯信崇,男,073/06/19,無,2,村里長
臺南市東區圍下里,石桂霖,男,055/06/24,無,1,村里長
臺南市東區小東里,黃貫中,男,056/09/15,無,1,村里長
臺南市東區小東里,余天翔,男,055/02/03,無,2,村里長
臺南市東區大學里,黄荀武,男,045/09/10,中國國民黨,1,村里長
臺南市東區龍山里,許福銘,男,063/01/22,無,1,村里長
臺南市東區虎尾里,李泓嶢,男,069/10/10,無,1,村里長
臺南市東區德高里,蘇秀敏,女,050/11/04,無,1,村里長
臺南市東區德高里,陳美雀,女,059/04/14,無,2,村里長
臺南市東區莊敬里,林志勲,男,065/04/12,無,1,村里長
臺南市東區莊敬里,林永俊,男,063/05/20,無,2,村里長
臺南市東區大福里,陳錦秀,女,056/01/03,民主進步黨,1,村里長
臺南市東區忠孝里,吳清安,男,073/06/20,無,1,村里長
臺南市東區忠孝里,蔡孟葦,男,068/09/23,無,2,村里長
臺南市東區忠孝里,侯光飛,男,053/12/04,無,3,村里長
臺南市東區崇誨里,趙洪芝,女,041/10/03,中國國民黨,1,村里長
臺南市東區崇誨里,鍾丞鈞,男,074/09/30,無,2,村里長
臺南市東區崇誨里,衡建勳,男,071/06/21,無,3,村里長
臺南市東區崇誨里,蔣開創,男,074/03/01,無,4,村里長
臺南市東區崇誨里,王豊鈞,男,070/09/29,無,5,村里長
臺南市東區東明里,郭秀琴,女,046/12/08,無,1,村里長
臺南市東區東明里,許立明,男,072/03/13,無,2,村里長
臺南市東區崇德里,陳福來,男,042/09/19,中國國民黨,1,村里長
臺南市東區東智里,陳素芳,女,054/01/06,中國國民黨,1,村里長
臺南市東區東智里,吳金輝,男,057/10/07,無,2,村里長
臺南市東區東聖里,黃英慈,男,058/10/22,無,1,村里長
臺南市東區東聖里,胡瑋琦,男,079/12/20,無,2,村里長
臺南市東區崇成里,陳文進,男,057/05/06,中國國民黨,1,村里長
臺南市東區東門里,劉家銘,男,067/01/02,無,1,村里長
臺南市東區東門里,陳憲明,男,034/11/14,中國國民黨,2,村里長
臺南市東區成大里,張歸樵,男,053/02/20,無,1,村里長
臺南市東區成大里,夏劍絢,男,043/01/25,無,2,村里長
臺南市東區大同里,侯雲靚,女,053/09/06,無,1,村里長
臺南市東區大同里,鄭少茵,女,061/09/15,無,2,村里長
臺南市東區大同里,謝明魁,男,029/06/20,無,3,村里長
臺南市東區德光里,曾國全,男,058/06/02,中國國民黨,1,村里長
臺南市東區崇信里,葉輝宏,男,061/01/03,無,1,村里長
臺南市東區崇文里,陳育民,男,077/04/15,無,1,村里長
臺南市東區崇文里,陳冠瑒,男,077/12/12,中國國民黨,2,村里長
臺南市東區復興里,郭耀儒,男,041/12/14,無,1,村里長
臺南市東區復興里,陳郭玉指,女,044/06/30,民主進步黨,2,村里長
臺南市東區裕聖里,黃姿雅,女,079/04/02,無,1,村里長
臺南市東區裕聖里,翁宗漢,男,059/12/02,無,2,村里長
臺南市東區裕聖里,柯銓泰,男,078/03/15,無,3,村里長
臺南市東區南聖里,周翊庭,男,062/04/24,無,1,村里長
臺南市東區南聖里,王旭新,男,053/07/18,無,2,村里長
臺南市東區文聖里,鄭林勝時,女,037/06/20,無,1,村里長
臺南市東區文聖里,蕭志廷,男,078/02/05,無,2,村里長
臺南市南區竹溪里,康益彰,男,061/06/11,無,1,村里長
臺南市南區竹溪里,曾銘澤,男,065/06/23,無,2,村里長
臺南市南區竹溪里,陳勁宏,男,059/03/13,無,3,村里長
臺南市南區明德里,陳瑞華,女,049/10/25,中國國民黨,1,村里長
臺南市南區大成里,鄭宏源,男,046/07/21,無,1,村里長
臺南市南區廣州里,許林麗玉,女,040/08/01,無,1,村里長
臺南市南區新昌里,郭志興,男,061/08/16,無,1,村里長
臺南市南區新興里,邱志初,男,047/01/05,民主進步黨,1,村里長
臺南市南區田寮里,王能波,男,047/05/08,無,1,村里長
臺南市南區田寮里,鄭文龍,男,038/08/31,無,2,村里長
臺南市南區國宅里,郭鐵樹,男,038/09/10,民主進步黨,1,村里長
臺南市南區國宅里,史進財,男,050/11/27,無,2,村里長
臺南市南區光明里,黃榮籐,男,046/11/10,無,1,村里長
臺南市南區明亮里,蘇三柱,男,045/01/09,民主進步黨,1,村里長
臺南市南區明亮里,郭順昇,男,053/03/26,無,2,村里長
臺南市南區明亮里,林文輝,男,072/01/23,無,3,村里長
臺南市南區喜東里,蔡祠重,男,044/07/10,無,1,村里長
臺南市南區喜北里,林鴻儒,男,057/07/13,無,1,村里長
臺南市南區喜南里,曹和田,男,036/07/17,無,1,村里長
臺南市南區省躬里,杜枝文,男,055/10/25,無,1,村里長
臺南市南區興農里,段美珠,女,056/09/10,無,1,村里長
臺南市南區同安里,林良文,男,045/04/28,民主進步黨,1,村里長
臺南市南區同安里,林玉崑,男,051/06/24,無,2,村里長
臺南市南區佛壇里,葉瑞勇,男,056/05/26,無,1,村里長
臺南市南區大林里,劉相明,男,059/02/25,無,1,村里長
臺南市南區大忠里,許智雄,男,062/01/04,無,1,村里長
臺南市南區大恩里,施國熙,男,041/05/02,無,1,村里長
臺南市南區新生里,王安國,男,040/05/07,中國國民黨,1,村里長
臺南市南區新生里,林明正,男,054/12/08,無,2,村里長
臺南市南區新生里,趙宋世英,女,043/02/25,中國國民黨,3,村里長
臺南市南區再興里,吳昇柏,男,049/10/02,無,1,村里長
臺南市南區再興里,蘇清和,男,043/01/02,民主進步黨,2,村里長
臺南市南區明興里,王俊生,男,048/04/06,無,1,村里長
臺南市南區明興里,賀少宏,男,074/10/02,民主進步黨,2,村里長
臺南市南區文華里,李秉樺,男,068/03/15,無,1,村里長
臺南市南區金華里,柯崑城,男,039/02/18,無,1,村里長
臺南市南區南都里,高麗雲,女,045/04/02,無,1,村里長
臺南市南區南都里,潘姿旗,女,070/05/17,無,2,村里長
臺南市南區南都里,陳鴻銘,男,043/11/19,民主進步黨,3,村里長
臺南市南區南都里,陳啓祥,男,064/04/12,無,4,村里長
臺南市南區開南里,梁坤財,男,043/03/10,無,1,村里長
臺南市南區彰南里,吳明達,男,049/12/02,無,1,村里長
臺南市南區建南里,江勝雄,男,047/01/03,民主進步黨,1,村里長
臺南市南區建南里,陳子玄,女,044/06/03,無,2,村里長
臺南市南區郡南里,林宏基,男,044/01/25,無,1,村里長
臺南市南區郡南里,王全益,男,043/10/08,民主進步黨,2,村里長
臺南市南區郡南里,楊燈煙,男,044/05/10,無,3,村里長
臺南市南區府南里,尤俊銘,男,058/09/09,無,1,村里長
臺南市南區府南里,陳進興,男,049/06/29,無,2,村里長
臺南市南區文南里,陳清泉,男,046/04/10,無,1,村里長
臺南市南區鯤鯓里,陳家展,男,046/12/06,無,1,村里長
臺南市南區鯤鯓里,陳金江,男,043/10/08,無,2,村里長
臺南市南區松安里,黃高能,男,046/06/13,無,1,村里長
臺南市南區松安里,葉育睿,男,080/09/28,無,2,村里長
臺南市南區永寧里,王育貞,女,054/08/26,無,1,村里長
臺南市南區南華里,吳勝宏,男,050/12/12,無,1,村里長
臺南市南區南華里,辜福恩,男,042/11/19,無,2,村里長
臺南市南區鹽埕里,王文坤,男,052/03/06,民主進步黨,1,村里長
臺南市南區鹽埕里,蔡進原,男,037/08/21,無,2,村里長
臺南市北區開元里,陳勝章,男,053/06/01,無,1,村里長
臺南市北區開元里,翁明樹,男,046/12/21,無,2,村里長
臺南市北區開元里,許朝基,男,051/01/20,無,3,村里長
臺南市北區東興里,王泉尚,男,044/09/02,無,1,村里長
臺南市北區力行里,周家宏,男,052/07/29,台灣民眾黨,1,村里長
臺南市北區力行里,鄭昆福,男,050/09/17,無,2,村里長
臺南市北區振興里,侯美惠,女,063/06/12,無,1,村里長
臺南市北區振興里,姜豊田,男,039/05/01,無,2,村里長
臺南市北區仁愛里,傅思云,男,052/10/01,無,1,村里長
臺南市北區仁愛里,郭宜緁,女,062/05/22,無,2,村里長
臺南市北區仁愛里,吳美香,女,046/01/12,無,3,村里長
臺南市北區大豐里,余禮南,男,039/03/15,無,1,村里長
臺南市北區重興里,趙品絜,女,064/05/14,無,1,村里長
臺南市北區重興里,鄭林阿雪,女,035/06/09,無,2,村里長
臺南市北區和順里,吳杰,男,045/11/01,無,1,村里長
臺南市北區和順里,黃俊源,男,057/11/08,無,2,村里長
臺南市北區正覺里,吳銅吉,男,045/03/29,民主進步黨,1,村里長
臺南市北區成功里,鄭景元,男,061/07/12,民主進步黨,1,村里長
臺南市北區文元里,吳丞軒,男,082/09/17,無,1,村里長
臺南市北區文元里,吳春美,女,052/08/14,民主進步黨,2,村里長
臺南市北區大港里,黃良賢,男,045/08/31,無,1,村里長
臺南市北區中樓里,楊政衡,男,051/10/05,中國國民黨,1,村里長
臺南市北區公園里,徐獻謙,男,057/05/10,無,1,村里長
臺南市北區公園里,戴嘉南,男,044/02/09,無,2,村里長
臺南市北區公園里,徐富美,女,027/11/08,無,3,村里長
臺南市北區元寶里,李和峰,男,046/08/04,無,1,村里長
臺南市北區元寶里,許大衛,男,046/05/29,無,2,村里長
臺南市北區永祥里,李青春,男,037/09/11,無,1,村里長
臺南市北區永祥里,謝坤娥,女,053/12/09,中國國民黨,2,村里長
臺南市北區成德里,王三保,男,042/01/10,無,1,村里長
臺南市北區成德里,王登炎,男,040/11/10,民主進步黨,2,村里長
臺南市北區文成里,顏吳珠華,女,039/11/11,無,1,村里長
臺南市北區文成里,蘇來椿,女,046/02/01,無,2,村里長
臺南市北區大和里,陳美惠,女,056/01/29,無,1,村里長
臺南市北區賢北里,黃富得,男,039/11/13,無,1,村里長
臺南市北區長勝里,李新生,男,047/01/13,中國國民黨,1,村里長
臺南市北區長勝里,吳澐晏,女,045/08/11,中國國民黨,2,村里長
臺南市北區合興里,吳承芳,男,040/09/16,無,1,村里長
臺南市北區北門里,許雅晴,女,077/12/09,無,1,村里長
臺南市北區北門里,陳雍明,男,047/04/16,無,2,村里長
臺南市北區北門里,王品程,男,080/02/15,無,3,村里長
臺南市北區小北里,蕭惠珍,女,059/07/12,無,1,村里長
臺南市北區小北里,謝水泉,男,046/08/01,民主進步黨,2,村里長
臺南市北區大光里,吳坤福,男,044/12/05,無,1,村里長
臺南市北區大光里,夏文君,女,071/09/18,無,2,村里長
臺南市北區大興里,黃文宗,男,060/07/22,無,1,村里長
臺南市北區長興里,李茂德,男,038/09/02,無,1,村里長
臺南市北區長興里,徐德興,男,034/05/18,無,2,村里長
臺南市北區北華里,葉政忠,男,071/04/14,無,1,村里長
臺南市北區北華里,王黃春子,女,034/05/29,無,2,村里長
臺南市北區華德里,陳俞安,男,070/04/16,無,1,村里長
臺南市北區華德里,宋藍美玉,女,042/11/28,無,2,村里長
臺南市北區福德里,林勝緞,女,045/06/01,民主進步黨,1,村里長
臺南市北區福德里,陳坤宏,男,047/10/16,無,2,村里長
臺南市北區立人里,蕭漍華,男,064/08/06,台灣民眾黨,1,村里長
臺南市北區立人里,陳春津,女,051/01/25,無,2,村里長
臺南市北區雙安里,蔡武林,男,040/10/16,無,1,村里長
臺南市北區雙安里,鄭智化,男,051/02/17,無,2,村里長
臺南市北區元美里,侯喬蓁,女,052/09/10,民主進步黨,1,村里長
臺南市安南區東和里,曾靖凱,男,060/02/18,無,1,村里長
臺南市安南區東和里,林天文,男,065/09/13,無,2,村里長
臺南市安南區安順里,陳進明,男,050/04/13,無,1,村里長
臺南市安南區安順里,鐘曉,男,051/07/02,無,2,村里長
臺南市安南區南里,林同寳,男,049/11/14,無,1,村里長
臺南市安南區州南里,涂文財,男,040/03/02,民主進步黨,1,村里長
臺南市安南區州南里,黄國基,男,052/06/18,無,2,村里長
臺南市安南區州北里,康瀚仁,男,065/12/17,無,1,村里長
臺南市安南區安東里,吳金城,男,042/05/22,民主進步黨,1,村里長
臺南市安南區安西里,黃文沛,男,046/06/12,無,1,村里長
臺南市安南區安西里,林慶文,男,046/02/09,民主進步黨,2,村里長
臺南市安南區安西里,黃泳順,男,075/10/19,無,3,村里長
臺南市安南區安西里,劉昆河,男,044/07/20,無,4,村里長
臺南市安南區頂安里,吳勝智,男,052/09/14,無,1,村里長
臺南市安南區安慶里,蕭振隆,男,048/08/18,無,1,村里長
臺南市安南區安慶里,王崑茂,男,046/06/22,無,2,村里長
臺南市安南區新順里,陳賈,男,041/11/15,無,1,村里長
臺南市安南區新順里,楊萬祥,男,036/03/10,無,2,村里長
臺南市安南區原佃里,莊國隆,男,049/06/06,無,1,村里長
臺南市安南區總頭里,蔡忠明,男,044/04/24,無,1,村里長
臺南市安南區總頭里,鄭榮仕,男,048/04/26,無,2,村里長
臺南市安南區長安里,謝天寅,男,039/11/02,無,1,村里長
臺南市安南區長安里,鄭銘學,男,053/07/22,無,2,村里長
臺南市安南區長安里,鄭豊村,男,038/04/18,無,3,村里長
臺南市安南區公親里,王金樹,男,044/04/10,無,1,村里長
臺南市安南區海東里,郭東勛,男,057/06/09,無,1,村里長
臺南市安南區海西里,吳文堯,男,045/03/20,無,1,村里長
臺南市安南區海西里,吳威誠,男,040/09/11,無,2,村里長
臺南市安南區海西里,吳志遠,男,072/04/05,無,3,村里長
臺南市安南區海西里,邱坤煌,男,041/11/27,無,4,村里長
臺南市安南區海南里,許琼娟,女,054/04/06,無,1,村里長
臺南市安南區海南里,陳金魚,男,044/12/08,無,2,村里長
臺南市安南區海南里,黃梅芳,女,051/01/24,無,3,村里長
臺南市安南區溪心里,劉澤民,男,045/10/01,無,1,村里長
臺南市安南區塩田里,朱小蓮,女,041/05/19,無,1,村里長
臺南市安南區淵東里,許雅典,男,063/09/11,無,1,村里長
臺南市安南區淵東里,黃旺根,男,041/02/02,無,2,村里長
臺南市安南區淵西里,周竹抱,男,043/02/21,無,1,村里長
臺南市安南區淵西里,王建盛,男,082/10/25,無,2,村里長
臺南市安南區佃東里,程全祿,男,052/06/17,無,1,村里長
臺南市安南區佃西里,高進見,男,051/07/06,無,1,村里長
臺南市安南區佃西里,蔡再旺,男,053/01/09,無,2,村里長
臺南市安南區佃西里,吳滿雄,男,048/01/08,無,3,村里長
臺南市安南區公里,林宏男,男,057/11/05,無,1,村里長
臺南市安南區南興里,施柏男,男,068/02/23,無,1,村里長
臺南市安南區南興里,黃豐村,男,053/05/05,無,2,村里長
臺南市安南區學東里,黃南忠,男,049/02/02,無,1,村里長
臺南市安南區學東里,黃ㄧ忠,男,055/06/12,無,2,村里長
臺南市安南區城東里,郭峻民,男,054/01/16,無,1,村里長
臺南市安南區城北里,郭築煌,男,071/06/24,無,1,村里長
臺南市安南區城北里,郭昆財,男,048/11/17,無,2,村里長
臺南市安南區城中里,郭美惠,女,057/03/13,無,1,村里長
臺南市安南區城中里,洪煌霖,男,046/11/20,無,2,村里長
臺南市安南區城中里,蔡富翔,男,061/06/12,無,3,村里長
臺南市安南區城南里,蔡清龍,男,058/10/12,無,1,村里長
臺南市安南區城南里,蔡炳輝,男,043/10/20,無,2,村里長
臺南市安南區城西里,郭郎,男,046/07/13,無,1,村里長
臺南市安南區城西里,陳國忠,男,056/08/24,無,2,村里長
臺南市安南區城西里,嚴文正,男,050/12/20,無,3,村里長
臺南市安南區青草里,邱志昌,男,063/12/11,無,1,村里長
臺南市安南區青草里,魏武雄,男,034/04/15,無,2,村里長
臺南市安南區砂崙里,陳泰豐,男,058/11/20,無,1,村里長
臺南市安南區砂崙里,陳中和,男,046/07/21,無,2,村里長
臺南市安南區鹿耳里,蕭平和,男,034/11/29,無,1,村里長
臺南市安南區鹿耳里,蕭琮憲,男,050/03/10,無,2,村里長
臺南市安南區四草里,王秋萍,女,054/12/18,無,1,村里長
臺南市安南區四草里,吳文振,男,074/04/17,民主進步黨,2,村里長
臺南市安南區四草里,蔡進財,男,041/07/28,無,3,村里長
臺南市安南區安和里,江宗穎,男,084/07/07,無,1,村里長
臺南市安南區安和里,郭榮珍,男,041/12/01,無,2,村里長
臺南市安南區溪北里,王東從,男,045/02/06,無,1,村里長
臺南市安南區溪頂里,蔡金華,男,076/03/27,無,1,村里長
臺南市安南區溪頂里,施建安,男,065/03/30,無,2,村里長
臺南市安南區溪頂里,謝文仁,男,046/02/10,民主進步黨,3,村里長
臺南市安南區溪墘里,蕭旭峰,男,051/07/04,民主進步黨,1,村里長
臺南市安南區溪墘里,曹喻閔,男,075/09/05,無,2,村里長
臺南市安南區海佃里,吳惠君,女,062/11/06,無,1,村里長
臺南市安南區海佃里,邱信榮,男,047/12/22,無,2,村里長
臺南市安南區海佃里,郭清吉,男,072/10/22,無,3,村里長
臺南市安南區海佃里,陳輝勝,男,046/01/26,無,4,村里長
臺南市安南區幸福里,凃秀奉,女,045/04/18,無,1,村里長
